round;team1;team2;n;p
Final;GER;GEO;14;0.000140
Final;NED;ENG;3745;0.037450
Final;ALB;ENG;29;0.000290
Final;POL;AUT;3;0.000030
Final;ESP;CZE;1;0.000010
Final;GER;UKR;2;0.000020
Final;UKR;ENG;1742;0.017420
Final;DEN;ENG;1190;0.011900
Final;GEO;FRA;381;0.003810
Final;TUR;FRA;20;0.000200
Final;ESP;ENG;6585;0.065850
Final;CRO;ENG;2463;0.024630
Final;GER;ENG;8604;0.086040
Final;POR;FRA;6082;0.060820
Final;CZE;ROU;94;0.000940
Final;ITA;TUR;1;0.000010
Final;UKR;GEO;1;0.000010
Final;ESP;NED;4;0.000040
Final;SRB;SVK;33;0.000330
Final;POL;ROU;4;0.000040
Final;SRB;SUI;203;0.002030
Final;DEN;TUR;119;0.001190
Final;GER;SCO;1;0.000010
Final;ROU;FRA;1;0.000010
Final;SRB;FRA;1207;0.012070
Final;DEN;HUN;96;0.000960
Final;SRB;BEL;388;0.003880
Final;CRO;GEO;5;0.000050
Final;NED;TUR;407;0.004070
Final;GEO;POL;51;0.000510
Final;ESP;TUR;674;0.006740
Final;TUR;POL;6;0.000060
Final;AUT;GEO;2;0.000020
Final;SRB;DEN;3;0.000030
Final;POL;NED;1;0.000010
Final;CZE;ENG;1113;0.011130
Final;DEN;ITA;299;0.002990
Final;POR;POL;233;0.002330
Final;POL;ITA;9;0.000090
Final;SCO;FRA;1;0.000010
Final;DEN;ROU;59;0.000590
Final;CZE;POL;4;0.000040
Final;NED;HUN;383;0.003830
Final;UKR;BEL;446;0.004460
Final;NED;ROU;229;0.002290
Final;ALB;BEL;2;0.000020
Final;GER;NED;8;0.000080
Final;UKR;SUI;223;0.002230
Final;UKR;SVK;56;0.000560
Final;SRB;ROU;81;0.000810
Final;POL;FRA;25;0.000250
Final;AUT;SUI;11;0.000110
Final;ESP;ROU;441;0.004410
Final;ESP;HUN;644;0.006440
Final;UKR;FRA;1499;0.014990
Final;ITA;ENG;1;0.000010
Final;SRB;ITA;407;0.004070
Final;GER;TUR;951;0.009510
Final;NED;ITA;1005;0.010050
Final;AUT;SVK;1;0.000010
Final;DEN;BEL;235;0.002350
Final;ESP;ITA;1693;0.016930
Final;SRB;HUN;146;0.001460
Final;ALB;FRA;17;0.000170
Final;GER;HUN;887;0.008870
Final;UKR;DEN;1;0.000010
Final;GEO;BEL;99;0.000990
Final;ESP;POL;222;0.002220
Final;CRO;DEN;1;0.000010
Final;CRO;SVK;54;0.000540
Final;AUT;BEL;10;0.000100
Final;NED;AUT;219;0.002190
Final;SRB;POL;10;0.000100
Final;GER;CZE;4;0.000040
Final;DEN;POL;74;0.000740
Final;POR;BEL;1649;0.016490
Final;CRO;SUI;333;0.003330
Final;POR;DEN;4;0.000040
Final;GEO;DEN;1;0.000010
Final;CRO;BEL;618;0.006180
Final;AUT;DEN;1;0.000010
Final;HUN;FRA;1;0.000010
Final;AUT;FRA;43;0.000430
Final;SRB;AUT;124;0.001240
Final;TUR;ITA;6;0.000060
Final;GEO;SUI;47;0.000470
Final;CRO;FRA;2130;0.021300
Final;TUR;ROU;3;0.000030
Final;ESP;AUT;367;0.003670
Final;GEO;SVK;27;0.000270
Final;POR;SUI;970;0.009700
Final;CZE;BEL;257;0.002570
Final;POR;SVK;187;0.001870
Final;CZE;SUI;162;0.001620
Final;CZE;FRA;1009;0.010090
Final;GER;POL;266;0.002660
Final;CZE;SVK;11;0.000110
Final;NED;POL;118;0.001180
Final;ALB;POL;2;0.000020
Final;POL;GEO;1;0.000010
Final;AUT;POL;10;0.000100
Final;AUT;ITA;13;0.000130
Final;UKR;POL;46;0.000460
Final;HUN;ENG;2;0.000020
Final;DEN;FRA;949;0.009490
Final;SRB;ENG;1452;0.014520
Final;ESP;SUI;900;0.009000
Final;DEN;SUI;141;0.001410
Final;POR;UKR;1;0.000010
Final;ESP;DEN;1;0.000010
Final;ESP;SVK;163;0.001630
Final;ESP;FRA;5725;0.057250
Final;AUT;ROU;6;0.000060
Final;SRB;TUR;158;0.001580
Final;CRO;POL;63;0.000630
Final;POL;DEN;1;0.000010
Final;UKR;AUT;103;0.001030
Final;GER;ITA;2338;0.023380
Final;POR;GEO;8;0.000080
Final;POL;BEL;8;0.000080
Final;DEN;SVK;29;0.000290
Final;ESP;BEL;1511;0.015110
Final;UKR;ITA;460;0.004600
Final;GER;AUT;535;0.005350
Final;DEN;AUT;48;0.000480
Final;GER;ROU;553;0.005530
Final;NED;FRA;3269;0.032690
Final;CRO;AUT;164;0.001640
Final;POL;SUI;6;0.000060
Final;GER;ALB;3;0.000030
Final;TUR;ENG;29;0.000290
Final;ROU;TUR;1;0.000010
Final;GEO;ENG;460;0.004600
Final;UKR;ROU;137;0.001370
Final;POR;ENG;7058;0.070580
Final;HUN;ESP;1;0.000010
Final;TUR;SCO;1;0.000010
Final;GER;SVK;220;0.002200
Final;GER;DEN;4;0.000040
Final;GER;FRA;7534;0.075340
Final;UKR;HUN;153;0.001530
Final;POL;TUR;1;0.000010
Final;NED;DEN;1;0.000010
Final;NED;BEL;897;0.008970
Final;CZE;UKR;1;0.000010
Final;CRO;ROU;157;0.001570
Final;AUT;TUR;4;0.000040
Final;CRO;ITA;679;0.006790
Final;POR;ALB;1;0.000010
Final;NED;SVK;77;0.000770
Final;CZE;AUT;56;0.000560
Final;ALB;TUR;2;0.000020
Final;UKR;TUR;183;0.001830
Final;NED;SUI;490;0.004900
Final;GEO;AUT;40;0.000400
Final;GER;BEL;2143;0.021430
Final;POR;AUT;428;0.004280
Final;ROU;SCO;1;0.000010
Final;GER;SUI;1133;0.011330
Final;AUT;ENG;61;0.000610
Final;DEN;GEO;2;0.000020
Final;POR;HUN;706;0.007060
Final;POL;ENG;38;0.000380
Final;ESP;GEO;10;0.000100
Final;CRO;HUN;222;0.002220
Final;CZE;ITA;272;0.002720
Final;POR;ROU;439;0.004390
Final;GEO;ROU;10;0.000100
Final;TUR;SUI;3;0.000030
Final;CRO;TUR;279;0.002790
Final;ROU;UKR;1;0.000010
Final;TUR;BEL;8;0.000080
Final;GEO;TUR;40;0.000400
Final;NED;GEO;2;0.000020
Final;GEO;ITA;140;0.001400
Final;POR;NED;4;0.000040
Final;CZE;HUN;155;0.001550
Final;POR;ITA;1877;0.018770
Final;POR;TUR;725;0.007250
Final;ALB;ITA;9;0.000090
Final;ESP;SCO;1;0.000010
Final;CZE;TUR;135;0.001350
Final;ALB;ROU;1;0.000010
QuarterFinals;ALB;UKR;108;0.001080
QuarterFinals;CRO;CZE;1;0.000010
QuarterFinals;TUR;SRB;46;0.000460
QuarterFinals;HUN;SRB;3;0.000030
QuarterFinals;SCO;SRB;2;0.000020
QuarterFinals;CRO;UKR;15005;0.150050
QuarterFinals;SVK;TUR;1;0.000010
QuarterFinals;GEO;SRB;1242;0.012420
QuarterFinals;ITA;NED;1;0.000010
QuarterFinals;DEN;NED;8;0.000080
QuarterFinals;UKR;SCO;6;0.000060
QuarterFinals;DEN;TUR;15;0.000150
QuarterFinals;SRB;FRA;7;0.000070
QuarterFinals;NED;TUR;20;0.000200
QuarterFinals;ENG;SUI;18303;0.183030
QuarterFinals;TUR;POL;1;0.000010
QuarterFinals;AUT;GEO;4;0.000040
QuarterFinals;BEL;TUR;13454;0.134540
QuarterFinals;ITA;AUT;1;0.000010
QuarterFinals;POR;POL;346;0.003460
QuarterFinals;POL;GER;6;0.000060
QuarterFinals;ALB;CZE;1;0.000010
QuarterFinals;SCO;FRA;3;0.000030
QuarterFinals;ROU;SUI;3039;0.030390
QuarterFinals;ENG;SCO;46;0.000460
QuarterFinals;SVK;SCO;3;0.000030
QuarterFinals;ITA;UKR;2;0.000020
QuarterFinals;ROU;ITA;9241;0.092410
QuarterFinals;ALB;SVK;3;0.000030
QuarterFinals;ENG;ESP;3;0.000030
QuarterFinals;POL;FRA;5622;0.056220
QuarterFinals;UKR;FRA;1;0.000010
QuarterFinals;NED;GER;3;0.000030
QuarterFinals;ESP;GER;43770;0.437700
QuarterFinals;ALB;FRA;12;0.000120
QuarterFinals;SVN;BEL;1;0.000010
QuarterFinals;BEL;CZE;35;0.000350
QuarterFinals;SCO;GER;2;0.000020
QuarterFinals;TUR;HUN;1;0.000010
QuarterFinals;POR;BEL;3;0.000030
QuarterFinals;CZE;SRB;5315;0.053150
QuarterFinals;GEO;DEN;1940;0.019400
QuarterFinals;HUN;FRA;6440;0.064400
QuarterFinals;TUR;GER;322;0.003220
QuarterFinals;AUT;FRA;10574;0.105740
QuarterFinals;SUI;TUR;4156;0.041560
QuarterFinals;AUT;SRB;2;0.000020
QuarterFinals;BEL;GEO;182;0.001820
QuarterFinals;POR;SVK;8;0.000080
QuarterFinals;CZE;SUI;1;0.000010
QuarterFinals;CZE;DEN;2903;0.029030
QuarterFinals;HUN;CZE;1;0.000010
QuarterFinals;ITA;FRA;1;0.000010
QuarterFinals;ALB;POL;2;0.000020
QuarterFinals;HUN;TUR;2226;0.022260
QuarterFinals;POL;GEO;141;0.001410
QuarterFinals;AUT;GER;2;0.000020
QuarterFinals;DEN;FRA;99;0.000990
QuarterFinals;ITA;BEL;1;0.000010
QuarterFinals;SVK;SUI;2205;0.022050
QuarterFinals;POR;UKR;26106;0.261060
QuarterFinals;ESP;DEN;10103;0.101030
QuarterFinals;SVK;FRA;2;0.000020
QuarterFinals;SRB;TUR;1;0.000010
QuarterFinals;CRO;POL;202;0.002020
QuarterFinals;HUN;ROU;1;0.000010
QuarterFinals;DEN;SVK;3;0.000030
QuarterFinals;HUN;GER;4;0.000040
QuarterFinals;ENG;CRO;1;0.000010
QuarterFinals;ENG;HUN;15308;0.153080
QuarterFinals;ESP;BEL;1;0.000010
QuarterFinals;UKR;ITA;8;0.000080
QuarterFinals;BEL;FRA;39635;0.396350
QuarterFinals;NED;FRA;134;0.001340
QuarterFinals;CRO;AUT;172;0.001720
QuarterFinals;UKR;GER;1;0.000010
QuarterFinals;NED;SRB;1;0.000010
QuarterFinals;ESP;SRB;12647;0.126470
QuarterFinals;ROU;HUN;3917;0.039170
QuarterFinals;AUT;CZE;2;0.000020
QuarterFinals;SVK;GER;1;0.000010
QuarterFinals;POL;TUR;1764;0.017640
QuarterFinals;UKR;HUN;1;0.000010
QuarterFinals;SUI;FRA;11834;0.118340
QuarterFinals;SVK;ITA;3430;0.034300
QuarterFinals;POL;CZE;11;0.000110
QuarterFinals;CRO;ROU;1;0.000010
QuarterFinals;AUT;TUR;3584;0.035840
QuarterFinals;ALB;NED;25;0.000250
QuarterFinals;FRA;ESP;1;0.000010
QuarterFinals;ALB;TUR;1;0.000010
QuarterFinals;UKR;TUR;1;0.000010
QuarterFinals;CRO;GER;1;0.000010
QuarterFinals;SVK;HUN;496;0.004960
QuarterFinals;ROU;SCO;6;0.000060
QuarterFinals;POR;AUT;589;0.005890
QuarterFinals;ENG;ITA;43976;0.439760
QuarterFinals;DEN;GEO;5;0.000050
QuarterFinals;ITA;SRB;1;0.000010
QuarterFinals;POR;ROU;23;0.000230
QuarterFinals;TUR;DEN;118;0.001180
QuarterFinals;ALB;AUT;202;0.002020
QuarterFinals;CRO;NED;21200;0.212000
QuarterFinals;CZE;GER;15753;0.157530
QuarterFinals;NED;GEO;18;0.000180
QuarterFinals;GEO;GER;5811;0.058110
QuarterFinals;DEN;UKR;8;0.000080
QuarterFinals;POR;NED;35971;0.359710
QuarterFinals;SVK;ALB;2;0.000020
QuarterFinals;ENG;ALB;6;0.000060
QuarterFinals;ALB;GER;1;0.000010
QuarterFinals;DEN;CZE;12;0.000120
QuarterFinals;ALB;ROU;6;0.000060
SemiFinals;SUI;POL;387;0.003870
SemiFinals;CRO;CZE;1464;0.014640
SemiFinals;AUT;ESP;137;0.001370
SemiFinals;ROU;SRB;3;0.000030
SemiFinals;POL;AUT;1;0.000010
SemiFinals;SVK;CZE;3;0.000030
SemiFinals;ALB;GEO;8;0.000080
SemiFinals;TUR;FRA;1;0.000010
SemiFinals;SUI;AUT;460;0.004600
SemiFinals;BEL;ITA;1;0.000010
SemiFinals;SVK;TUR;308;0.003080
SemiFinals;ITA;TUR;2350;0.023500
SemiFinals;ITA;HUN;625;0.006250
SemiFinals;ITA;NED;12;0.000120
SemiFinals;POR;SRB;3537;0.035370
SemiFinals;HUN;SUI;765;0.007650
SemiFinals;UKR;GEO;446;0.004460
SemiFinals;UKR;SCO;1;0.000010
SemiFinals;ROU;DEN;2;0.000020
SemiFinals;ENG;DEN;23;0.000230
SemiFinals;SCO;DEN;1;0.000010
SemiFinals;SVK;NED;1;0.000010
SemiFinals;ENG;BEL;11338;0.113380
SemiFinals;ROU;FRA;3620;0.036200
SemiFinals;NED;CZE;2167;0.021670
SemiFinals;UKR;ESP;5060;0.050600
SemiFinals;SCO;BEL;2;0.000020
SemiFinals;CRO;GEO;612;0.006120
SemiFinals;NED;TUR;23;0.000230
SemiFinals;ESP;TUR;1;0.000010
SemiFinals;ENG;SUI;2989;0.029890
SemiFinals;AUT;GEO;15;0.000150
SemiFinals;ITA;GER;1;0.000010
SemiFinals;ITA;AUT;1198;0.011980
SemiFinals;DEN;ESP;5;0.000050
SemiFinals;POR;POL;1;0.000010
SemiFinals;HUN;AUT;250;0.002500
SemiFinals;ROU;BEL;1398;0.013980
SemiFinals;DEN;GER;5;0.000050
SemiFinals;POL;GER;90;0.000900
SemiFinals;ALB;CZE;9;0.000090
SemiFinals;ENG;FRA;28785;0.287850
SemiFinals;SCO;FRA;10;0.000100
SemiFinals;ROU;SUI;421;0.004210
SemiFinals;SUI;NED;3;0.000030
SemiFinals;POR;ESP;13152;0.131520
SemiFinals;UKR;BEL;1;0.000010
SemiFinals;ENG;SCO;1;0.000010
SemiFinals;ITA;GEO;31;0.000310
SemiFinals;CRO;ESP;6014;0.060140
SemiFinals;ROU;GER;3;0.000030
SemiFinals;ROU;AUT;254;0.002540
SemiFinals;UKR;FRA;6;0.000060
SemiFinals;POL;SRB;12;0.000120
SemiFinals;SVK;BEL;472;0.004720
SemiFinals;NED;GER;10494;0.104940
SemiFinals;ALB;DEN;14;0.000140
SemiFinals;ALB;FRA;1;0.000010
SemiFinals;UKR;DEN;1006;0.010060
SemiFinals;UKR;SRB;1355;0.013550
SemiFinals;HUN;BEL;1373;0.013730
SemiFinals;ITA;CZE;6;0.000060
SemiFinals;CRO;DEN;1267;0.012670
SemiFinals;SVK;GEO;3;0.000030
SemiFinals;ENG;GEO;71;0.000710
SemiFinals;ROU;POL;111;0.001110
SemiFinals;BEL;ESP;1;0.000010
SemiFinals;POR;DEN;2726;0.027260
SemiFinals;ALB;ESP;53;0.000530
SemiFinals;AUT;DEN;38;0.000380
SemiFinals;HUN;FRA;3247;0.032470
SemiFinals;FRA;TUR;1;0.000010
SemiFinals;SCO;AUT;1;0.000010
SemiFinals;SCO;ALB;1;0.000010
SemiFinals;SUI;HUN;406;0.004060
SemiFinals;SUI;TUR;794;0.007940
SemiFinals;AUT;SRB;16;0.000160
SemiFinals;SVK;ESP;1;0.000010
SemiFinals;ESP;ALB;1;0.000010
SemiFinals;CRO;SRB;1581;0.015810
SemiFinals;ROU;CZE;1;0.000010
SemiFinals;ENG;CZE;15;0.000150
SemiFinals;SCO;CZE;2;0.000020
SemiFinals;POL;ESP;71;0.000710
SemiFinals;SUI;GEO;21;0.000210
SemiFinals;ITA;DEN;11;0.000110
SemiFinals;SVN;SRB;1;0.000010
SemiFinals;ITA;FRA;10849;0.108490
SemiFinals;POR;CZE;3152;0.031520
SemiFinals;DEN;SRB;1;0.000010
SemiFinals;HUN;TUR;732;0.007320
SemiFinals;POL;GEO;19;0.000190
SemiFinals;AUT;POL;2;0.000020
SemiFinals;AUT;GER;160;0.001600
SemiFinals;ITA;BEL;4335;0.043350
SemiFinals;ITA;SUI;1122;0.011220
SemiFinals;SVK;SUI;71;0.000710
SemiFinals;SVK;DEN;3;0.000030
SemiFinals;ESP;FRA;1;0.000010
SemiFinals;ROU;NED;7;0.000070
SemiFinals;SUI;CZE;2;0.000020
SemiFinals;ENG;NED;39;0.000390
SemiFinals;ALB;SRB;12;0.000120
SemiFinals;SVK;FRA;1327;0.013270
SemiFinals;ENG;TUR;6156;0.061560
SemiFinals;CRO;POL;1;0.000010
SemiFinals;POL;DEN;25;0.000250
SemiFinals;SCO;TUR;1;0.000010
SemiFinals;POR;GEO;1168;0.011680
SemiFinals;ENG;HUN;1643;0.016430
SemiFinals;UKR;GER;5930;0.059300
SemiFinals;NED;SRB;2299;0.022990
SemiFinals;ROU;TUR;768;0.007680
SemiFinals;ITA;ESP;1;0.000010
SemiFinals;HUN;ESP;1;0.000010
SemiFinals;ROU;HUN;270;0.002700
SemiFinals;SUI;DEN;5;0.000050
SemiFinals;TUR;ESP;1;0.000010
SemiFinals;AUT;CZE;21;0.000210
SemiFinals;SVK;GER;2;0.000020
SemiFinals;POL;TUR;4;0.000040
SemiFinals;ITA;ALB;1;0.000010
SemiFinals;UKR;HUN;1;0.000010
SemiFinals;NED;DEN;1697;0.016970
SemiFinals;SUI;FRA;3826;0.038260
SemiFinals;POL;CZE;10;0.000100
SemiFinals;AUT;TUR;13;0.000130
SemiFinals;ALB;TUR;7;0.000070
SemiFinals;UKR;TUR;25;0.000250
SemiFinals;CRO;GER;7332;0.073320
SemiFinals;AUT;NED;1;0.000010
SemiFinals;SVK;HUN;17;0.000170
SemiFinals;ITA;POL;612;0.006120
SemiFinals;ROU;ESP;5;0.000050
SemiFinals;POR;HUN;4;0.000040
SemiFinals;UKR;CZE;1249;0.012490
SemiFinals;ROU;GEO;11;0.000110
SemiFinals;SVK;POL;141;0.001410
SemiFinals;ENG;POL;1573;0.015730
SemiFinals;NED;ESP;8505;0.085050
SemiFinals;ITA;SRB;2;0.000020
SemiFinals;CRO;TUR;28;0.000280
SemiFinals;ENG;AUT;2893;0.028930
SemiFinals;SVK;AUT;240;0.002400
SemiFinals;NED;GEO;834;0.008340
SemiFinals;POR;NED;1;0.000010
SemiFinals;POR;GER;15960;0.159600
SemiFinals;POR;TUR;65;0.000650
SemiFinals;ENG;ALB;6;0.000060
SemiFinals;ALB;GER;71;0.000710
SemiFinals;SUI;BEL;1565;0.015650
RoundOf16;BEL;HUN;19409;0.194090
RoundOf16;NED;UKR;97255;0.972550
RoundOf16;BEL;CRO;1;0.000010
RoundOf16;ENG;CZE;6;0.000060
RoundOf16;ESP;CZE;71645;0.716450
RoundOf16;FRA;CZE;227;0.002270
RoundOf16;SUI;ALB;3;0.000030
RoundOf16;ESP;UKR;3;0.000030
RoundOf16;POR;SVN;2;0.000020
RoundOf16;ITA;HUN;1;0.000010
RoundOf16;ENG;UKR;56;0.000560
RoundOf16;POR;SRB;3;0.000030
RoundOf16;SUI;ESP;2;0.000020
RoundOf16;ESP;NED;10;0.000100
RoundOf16;ENG;SVK;27615;0.276150
RoundOf16;ESP;SUI;1;0.000010
RoundOf16;ESP;SVK;2;0.000020
RoundOf16;POL;ROU;1;0.000010
RoundOf16;FRA;GEO;1406;0.014060
RoundOf16;SVK;NED;1;0.000010
RoundOf16;ENG;NED;1;0.000010
RoundOf16;ENG;TUR;3;0.000030
RoundOf16;HUN;ITA;45639;0.456390
RoundOf16;ESP;TUR;1492;0.014920
RoundOf16;POL;BEL;1;0.000010
RoundOf16;BEL;SRB;14;0.000140
RoundOf16;UKR;ITA;1;0.000010
RoundOf16;HUN;ALB;3;0.000030
RoundOf16;POL;SVK;1;0.000010
RoundOf16;BEL;SUI;35819;0.358190
RoundOf16;BEL;DEN;284;0.002840
RoundOf16;ENG;FRA;1;0.000010
RoundOf16;BEL;NED;333;0.003330
RoundOf16;HUN;ESP;1;0.000010
RoundOf16;GER;DEN;43622;0.436220
RoundOf16;POR;ESP;1;0.000010
RoundOf16;NED;ROU;67;0.000670
RoundOf16;SVK;SCO;3;0.000030
RoundOf16;UKR;HUN;1;0.000010
RoundOf16;POL;TUR;1;0.000010
RoundOf16;ALB;HUN;2;0.000020
RoundOf16;SCO;ESP;1;0.000010
RoundOf16;ALB;SUI;1;0.000010
RoundOf16;CRO;ROU;1;0.000010
RoundOf16;POR;ALB;1000;0.010000
RoundOf16;NED;SVK;23;0.000230
RoundOf16;ESP;ROU;2;0.000020
RoundOf16;ESP;HUN;16;0.000160
RoundOf16;SVK;HUN;1;0.000010
RoundOf16;AUT;SVK;4;0.000040
RoundOf16;UKR;NED;3;0.000030
RoundOf16;HUN;CRO;4;0.000040
RoundOf16;ENG;ROU;72317;0.723170
RoundOf16;SCO;ITA;143;0.001430
RoundOf16;POR;HUN;1;0.000010
RoundOf16;UKR;SRB;1;0.000010
RoundOf16;ESP;POL;21;0.000210
RoundOf16;AUT;BEL;8;0.000080
RoundOf16;AUT;UKR;1668;0.016680
RoundOf16;ESP;GEO;26782;0.267820
RoundOf16;FRA;POR;1;0.000010
RoundOf16;GER;SRB;56376;0.563760
RoundOf16;POL;UKR;972;0.009720
RoundOf16;POR;DEN;49;0.000490
RoundOf16;BEL;AUT;29051;0.290510
RoundOf16;TUR;CRO;1;0.000010
RoundOf16;BEL;SCO;3;0.000030
RoundOf16;SUI;ITA;54198;0.541980
RoundOf16;FRA;TUR;98365;0.983650
RoundOf16;ENG;AUT;1;0.000010
RoundOf16;BEL;ALB;25;0.000250
RoundOf16;BEL;POL;15050;0.150500
RoundOf16;POR;ITA;10;0.000100
RoundOf16;ESP;AUT;16;0.000160
RoundOf16;ESP;SCO;5;0.000050
RoundOf16;SCO;ALB;6;0.000060
RoundOf16;POR;CRO;98933;0.989330
RoundOf16;GER;SVN;2;0.000020
